1572465161.5878527, 1
1572465161.6198218, 2
1572465161.6528225, 3
1572465161.6858227, 4
1572465161.718851, 5
1572465161.7558231, 6
1572465161.7878232, 7
1572465161.8208616, 8
1572465161.8538628, 9
1572465161.8868663, 10
1572465161.9188614, 11
1572465161.951823, 12
1572465161.9888592, 13
1572465162.0218618, 14
1572465162.0548549, 15
1572465162.0868638, 16
1572465162.119826, 17
1572465162.152826, 18
1572465162.1858256, 19
1572465162.2218244, 20
1572465162.2548208, 21
1572465162.287851, 22
1572465162.3208215, 23
1572465162.3538527, 24
1572465162.3858519, 25
1572465162.4188588, 26
1572465162.4558618, 27
1572465162.488823, 28
1572465162.5208619, 29
1572465162.5538223, 30
1572465162.5868285, 31
1572465162.6198223, 32
1572465162.652825, 33
1572465162.688823, 34
1572465162.721824, 35
1572465162.7548232, 36
1572465162.7878518, 37
1572465162.819824, 38
1572465162.8528645, 39
1572465162.8858645, 40
1572465162.9228623, 41
1572465162.9558568, 42
1572465162.987823, 43
1572465163.0208614, 44
1572465163.0538235, 45
1572465163.0868266, 46
1572465163.1188507, 47
1572465163.1558223, 48
1572465163.188826, 49
1572465163.2218547, 50
1572465163.2548625, 51
1572465163.2868516, 52
1572465163.3198543, 53
1572465163.3488646, 5, 53
1572465163.3528225, 54
1572465163.3898516, 55
1572465163.3978534, 5, 55
1572465163.4008222, 5, 55
1572465163.403852, 5, 55
1572465163.4068537, 5, 55
1572465163.4098222, 5, 55
1572465163.4118521, 5, 55
1572465163.4148223, 5, 55
1572465163.4178221, 5, 55
1572465163.421822, 5, 55
1572465163.4248521, 5, 55
1572465163.4278517, 5, 55
1572465163.4308407, 5, 55
1572465163.4328227, 5, 55
1572465163.4358518, 5, 55
1572465163.438852, 5, 55
1572465163.4418514, 5, 55
1572465163.4448473, 5, 55
1572465163.447848, 5, 55
1572465163.4508228, 5, 55
1572465163.453823, 5, 55
1572465163.4568253, 5, 55
1572465163.4598212, 5, 55
1572465163.4628232, 5, 55
1572465163.465852, 5, 55
1572465163.4688623, 5, 55
1572465163.4718213, 5, 55
1572465163.4748213, 5, 55
1572465163.4778237, 5, 55
1572465163.4808245, 5, 55
1572465163.483853, 5, 55
1572465163.486837, 5, 55
1572465163.4898522, 5, 55
1572465163.492852, 56
1572465163.4958522, 5, 56
1572465163.4988523, 5, 56
1572465163.501858, 5, 56
1572465163.504824, 5, 56
1572465163.5078626, 5, 56
1572465163.5108235, 5, 56
1572465163.513824, 5, 56
1572465163.5168238, 5, 56
1572465163.5198238, 5, 56
1572465163.5228233, 5, 56
1572465163.5268216, 5, 56
1572465163.5298214, 5, 56
1572465163.5328221, 5, 56
1572465163.5358243, 5, 56
1572465163.538822, 5, 56
1572465163.5408223, 5, 56
1572465163.5448244, 5, 56
1572465163.5478213, 5, 56
1572465163.5508566, 5, 56
1572465163.5548215, 5, 56
1572465163.5588605, 5, 56
1572465163.5618534, 5, 56
1572465163.5648222, 5, 56
1572465163.567822, 5, 56
1572465163.5708222, 5, 56
1572465163.5738223, 5, 56
1572465163.5778236, 5, 56
1572465163.5808222, 5, 56
1572465163.583825, 5, 56
1572465163.5878267, 5, 56
1572465163.592822, 5, 56
1572465163.5968454, 5, 56
1572465163.599848, 5, 56
1572465163.602822, 5, 56
1572465163.6058226, 5, 56
1572465163.608822, 5, 56
1572465163.6118224, 5, 56
1572465163.6158226, 5, 56
1572465163.6198244, 5, 56
1572465163.6248252, 5, 56
1572465163.6298323, 5, 56
1572465163.6338491, 5, 56
1572465163.6368523, 5, 56
1572465163.642823, 5, 56
1572465163.6468525, 5, 56
1572465163.6498532, 5, 56
1572465163.6538258, 57
1572465163.656853, 5, 57
1572465163.6598527, 5, 57
1572465163.6638238, 5, 57
1572465163.6668522, 5, 57
1572465163.6698542, 5, 57
1572465163.6728523, 5, 57
1572465163.6758533, 5, 57
1572465163.6788526, 5, 57
1572465163.682841, 5, 57
1572465163.6858525, 5, 57
1572465163.688822, 5, 57
1572465163.6928263, 5, 57
1572465163.6958249, 5, 57
1572465163.6988456, 5, 57
1572465163.7018518, 5, 57
1572465163.7048526, 5, 57
1572465163.7078524, 5, 57
1572465163.710823, 5, 57
1572465163.714848, 5, 57
1572465163.7178571, 5, 57
1572465163.7218254, 5, 57
1572465163.7258217, 5, 57
1572465163.7288523, 5, 57
1572465163.731822, 5, 57
1572465163.7358236, 5, 57
1572465163.7388246, 5, 57
1572465163.7418232, 5, 57
1572465163.7448487, 5, 57
1572465163.747822, 5, 57
1572465163.750822, 5, 57
1572465163.7548206, 5, 57
1572465163.7588363, 5, 57
1572465163.7618597, 5, 57
1572465163.7658207, 5, 57
1572465163.7688205, 5, 57
1572465163.771851, 5, 57
1572465163.7758253, 5, 57
1572465163.7788572, 5, 57
1572465163.7818491, 5, 57
1572465163.784852, 5, 57
1572465163.7888489, 5, 57
1572465163.7928314, 5, 57
1572465163.7958221, 5, 57
1572465163.7988524, 5, 57
1572465163.801852, 5, 57
1572465163.8058212, 5, 57
1572465163.8088474, 58
1572465163.812823, 5, 58
1572465163.8158228, 5, 58
1572465163.819824, 5, 58
1572465163.823824, 5, 58
1572465163.826822, 5, 58
1572465163.8308263, 5, 58
1572465163.8338223, 5, 58
1572465163.836822, 5, 58
1572465163.840824, 5, 58
1572465163.8438215, 5, 58
1572465163.8468232, 5, 58
1572465163.8508234, 5, 58
1572465163.8538222, 5, 58
1572465163.8578231, 5, 58
1572465163.8608522, 5, 58
1572465163.8638585, 5, 58
1572465163.866821, 5, 58
1572465163.8708234, 5, 58
1572465163.8738222, 5, 58
1572465163.876822, 5, 58
1572465163.880822, 5, 58
1572465163.8838217, 5, 58
1572465163.8878222, 5, 58
1572465163.8918617, 5, 58
1572465163.8958209, 5, 58
1572465163.899824, 5, 58
1572465163.902851, 5, 58
1572465163.9058223, 5, 58
1572465163.9088223, 5, 58
1572465163.9128234, 5, 58
1572465163.915852, 5, 58
1572465163.9198227, 5, 58
1572465163.9228222, 5, 58
1572465163.9268222, 5, 58
1572465163.930822, 5, 58
1572465163.9338222, 5, 58
1572465163.9378216, 5, 58
1572465163.9408221, 5, 58
1572465163.943822, 5, 58
1572465163.947822, 5, 58
1572465163.9508505, 5, 58
1572465163.9548528, 5, 58
1572465163.9588525, 5, 58
1572465163.9618223, 5, 58
1572465163.9658222, 5, 58
1572465163.968822, 5, 58
1572465163.9728222, 59
1572465163.975852, 5, 59
1572465163.978852, 5, 59
1572465163.9828315, 5, 59
1572465163.9858503, 5, 59
1572465163.9898221, 5, 59
1572465163.9928472, 5, 59
1572465163.9968228, 5, 59
1572465163.9998503, 5, 59
1572465164.0028222, 5, 59
1572465164.006836, 5, 59
1572465164.009852, 5, 59
1572465164.012822, 5, 59
